a,b,c,d
271,782,-90,630
653,989,34,700
-56,816,746,328
772,582,595,67
510,120,480,832
801,956,731,868
822,920,-74,894
333,349,436,415
410,243,42,660
43,630,305,75
168,780,-88,809
464,826,778,880
400,714,213,-83
127,161,776,680
925,512,476,257
38,681,906,361
774,390,625,700
221,367,71,432
611,719,987,932
180,883,675,198
115,203,852,-77
-30,898,94,528
168,676,85,873
-57,458,32,196
101,172,711,368
970,837,648,840
-76,353,207,-10
883,0,-58,106
-7,881,580,340
667,138,713,983
407,96,377,205
385,199,223,-75
307,798,535,86
830,818,183,383
50,790,573,440
563,595,-8,750
571,386,571,519
793,-96,923,157
916,408,302,781
-45,-61,393,-25
428,738,96,907
759,598,348,872
-90,825,608,70
97,775,432,968
455,566,-3,595
920,597,203,260
899,778,548,452
1000,137,54,685
684,226,801,990
350,271,300,434
346,765,951,341
149,80,9,907
-29,-100,-93,37
790,512,899,175
711,865,453,27
538,351,159,-24
828,619,-88,885
910,280,663,93
633,533,131,659
678,381,-68,950
476,435,351,-91
930,188,554,160
588,849,390,941
816,339,461,752
782,302,880,708
966,618,520,666
15,327,366,-91
711,-42,698,311
70,967,169,657
899,429,820,-19
379,184,546,259
237,371,45,5
486,510,435,367
766,695,128,164
880,64,-57,938
557,595,345,756
381,878,981,935
275,556,618,521
757,153,642,272
939,452,138,51
-17,493,215,299
785,497,413,10
452,730,863,274
305,325,684,149
714,567,757,311
242,315,945,708
664,680,414,457
443,585,985,574
767,436,504,-78
454,55,613,901
576,944,269,838
375,917,139,320
853,559,394,348
282,55,111,-15
650,906,579,-95
748,950,101,807
982,710,692,-57
530,985,-31,331
949,222,911,430
671,-8,603,12
